Row Labels,Average of SAT Math Avg. Score,Average of SAT Critical Reading Avg. Score,Average of SAT Writing Avg. Score
01,468.4444444,423.7777778,413.5555556
02,441.3448276,424.0689655,419.4482759
03,426,424.8461538,417.0769231
04,405.2857143,393.1428571,392.7142857
05,409.6666667,407.3333333,401.2222222
06,394.3,381,376.7
07,381.7333333,378.0666667,372.4666667
08,381.4666667,382.4666667,376.6
09,379.5714286,372.4761905,372.8095238
10,409.6923077,395.3846154,390.8076923
11,391.8235294,387.4705882,378.6470588
12,370.0666667,362.0666667,355.5333333
13,414.5,411.875,402.625
14,393.7142857,394.7142857,384
15,394.9090909,391.5454545,382.3636364
16,367.25,363,357.25
17,388.3888889,384.9444444,373.5555556
18,374.2142857,378.7142857,370.3571429
19,377.5833333,367.0833333,359.1666667
20,477.2,393,385
21,417.1818182,395.9090909,386.8181818
22,480.6,455.4,453.4
23,375.1666667,358.6666667,351.3333333
24,434,405.8461538,402.1538462
25,458.5454545,423,418.0909091
26,487.6,445.2,444.8
27,419.8181818,405.6363636,390.6363636
28,463.1818182,442.5454545,431
29,396.3333333,391.7777778,381.1111111
30,471.75,434,433.5
31,462.9166667,453.8333333,442.4166667
32,376,369.7142857,361.5714286
